0.0093,0.3319,0.6588
0.0306,0.3668,0.6026
0.0827,0.2892,0.6281
0.1238,0.2415,0.6347
0.0114,0.2266,0.762
0.0255,0.2276,0.7469
0.0723,0.2,0.7276
0.1447,0.2538,0.6016
0.0069,0.1501,0.843
0.0411,0.1553,0.8035
0.1005,0.1609,0.7386
0.1179,0.1961,0.6859
0.013,0.0861,0.9008
0.0244,0.1164,0.8592
0.1048,0.1393,0.7559
0.1158,0.1752,0.709
0.0103,0.0384,0.9514
0.0467,0.0677,0.8855
0.0692,0.0924,0.8384
0.1194,0.1479,0.7326
0.0406,0.3228,0.6365
0.0487,0.3539,0.5974
0.1649,0.2758,0.5593
0.038,0.1743,0.7878
0.0514,0.2047,0.7439
0.1522,0.234,0.6138
0.0519,0.0588,0.8893
0.0543,0.0833,0.8624
0.1318,0.1723,0.6959
0.1366,0.2756,0.5878
0.1668,0.2955,0.5377
0.2543,0.305,0.4407
0.0959,0.1948,0.7093
0.1343,0.2289,0.6368
0.2637,0.288,0.4482
0.1053,0.1328,0.7619
0.1442,0.1737,0.6821
0.2406,0.2661,0.4934
0.1515,0.2094,0.6391
0.1556,0.2548,0.5896
0.2785,0.2936,0.4279
0.1424,0.1869,0.6707
0.1904,0.2058,0.6038
0.2499,0.3434,0.4067
0.1166,0.1606,0.7228
0.1719,0.2074,0.6208
0.267,0.2896,0.4434
0.0073,0.013,0.9797
0.0181,0.0274,0.9545
0.0587,0.073,0.8683
0.0845,0.0998,0.8157
0.1294,0.149,0.7215
0.2072,0.2391,0.5538
0.2244,0.2589,0.5167
0.2448,0.2819,0.4733
0.2691,0.3083,0.4226
0.2973,0.3326,0.3701
0.0076,0.4791,0.5133
0.0409,0.3997,0.5594
0.14,0.2802,0.5797
0.1855,0.2197,0.5948
0.1096,0.4252,0.4652
0.1976,0.3034,0.499
0.2105,0.2883,0.5013
0.2161,0.3581,0.4257
0.2677,0.3148,0.4174
0.3153,0.3245,0.3602
0.0155,0.4469,0.5376
0.164,0.3567,0.4792
0.012,0.405,0.5831
0.1909,0.3816,0.4276
0.0632,0.4392,0.4976
0.0319,0.4325,0.5356
0.2207,0.3291,0.4503
0.216,0.272,0.512
0.1693,0.3743,0.4564
0.242,0.2747,0.4833
0.1598,0.3744,0.4658
0.0796,0.4352,0.4852
0.1648,0.184,0.6512
0.1482,0.1906,0.6612
0.0811,0.1477,0.7712
0.1516,0.2901,0.5583
0.1741,0.3439,0.482
0.0596,0.4306,0.5099
0.1154,0.3826,0.502
0.1046,0.4155,0.4799
0.0846,0.2835,0.6319
0.0617,0.2527,0.6855
0.0938,0.3327,0.5736
0.1267,0.3665,0.5068
0.2878,0.3544,0.3578
0.2995,0.3434,0.3571
0.1762,0.3005,0.5234
0.1229,0.2686,0.6085
0.0422,0.2545,0.7032
0.0577,0.3425,0.5998
0.1564,0.2953,0.5482
0.168,0.3347,0.4973
0.1633,0.3642,0.4724
0.3319,0.0093,0.6588
0.3668,0.0306,0.6026
0.2892,0.0827,0.6281
0.2415,0.1238,0.6347
0.2266,0.0114,0.762
0.2276,0.0255,0.7469
0.2,0.0723,0.7276
0.2538,0.1447,0.6016
0.1501,0.0069,0.843
0.1553,0.0411,0.8035
0.1609,0.1005,0.7386
0.1961,0.1179,0.6859
0.0861,0.013,0.9008
0.1164,0.0244,0.8592
0.1393,0.1048,0.7559
0.1752,0.1158,0.709
0.0384,0.0103,0.9514
0.0677,0.0467,0.8855
0.0924,0.0692,0.8384
0.1479,0.1194,0.7326
0.3228,0.0406,0.6365
0.3539,0.0487,0.5974
0.2758,0.1649,0.5593
0.1743,0.038,0.7878
0.2047,0.0514,0.7439
0.234,0.1522,0.6138
0.0588,0.0519,0.8893
0.0833,0.0543,0.8624
0.1723,0.1318,0.6959
0.2756,0.1366,0.5878
0.2955,0.1668,0.5377
0.305,0.2543,0.4407
0.1948,0.0959,0.7093
0.2289,0.1343,0.6368
0.288,0.2637,0.4482
0.1328,0.1053,0.7619
0.1737,0.1442,0.6821
0.2661,0.2406,0.4934
0.2094,0.1515,0.6391
0.2548,0.1556,0.5896
0.2936,0.2785,0.4279
0.1869,0.1424,0.6707
0.2058,0.1904,0.6038
0.3434,0.2499,0.4067
0.1606,0.1166,0.7228
0.2074,0.1719,0.6208
0.2896,0.267,0.4434
0.013,0.0073,0.9797
0.0274,0.0181,0.9545
0.073,0.0587,0.8683
0.0998,0.0845,0.8157
0.149,0.1294,0.7215
0.2391,0.2072,0.5538
0.2589,0.2244,0.5167
0.2819,0.2448,0.4733
0.3083,0.2691,0.4226
0.3326,0.2973,0.3701
0.4791,0.0076,0.5133
0.3997,0.0409,0.5594
0.2802,0.14,0.5797
0.2197,0.1855,0.5948
0.4252,0.1096,0.4652
0.3034,0.1976,0.499
0.2883,0.2105,0.5013
0.3581,0.2161,0.4257
0.3148,0.2677,0.4174
0.3245,0.3153,0.3602
0.4469,0.0155,0.5376
0.3567,0.164,0.4792
0.405,0.012,0.5831
0.3816,0.1909,0.4276
0.4392,0.0632,0.4976
0.4325,0.0319,0.5356
0.3291,0.2207,0.4503
0.272,0.216,0.512
0.3743,0.1693,0.4564
0.2747,0.242,0.4833
0.3744,0.1598,0.4658
0.4352,0.0796,0.4852
0.184,0.1648,0.6512
0.1906,0.1482,0.6612
0.1477,0.0811,0.7712
0.2901,0.1516,0.5583
0.3439,0.1741,0.482
0.4306,0.0596,0.5099
0.3826,0.1154,0.502
0.4155,0.1046,0.4799
0.2835,0.0846,0.6319
0.2527,0.0617,0.6855
0.3327,0.0938,0.5736
0.3665,0.1267,0.5068
0.3544,0.2878,0.3578
0.3434,0.2995,0.3571
0.3005,0.1762,0.5234
0.2686,0.1229,0.6085
0.2545,0.0422,0.7032
0.3425,0.0577,0.5998
0.2953,0.1564,0.5482
0.3347,0.168,0.4973
0.3642,0.1633,0.4724
0.6588,0.3319,0.0093
0.6026,0.3668,0.0306
0.6281,0.2892,0.0827
0.6347,0.2415,0.1238
0.762,0.2266,0.0114
0.7469,0.2276,0.0255
0.7276,0.2,0.0723
0.6016,0.2538,0.1447
0.843,0.1501,0.0069
0.8035,0.1553,0.0411
0.7386,0.1609,0.1005
0.6859,0.1961,0.1179
0.9008,0.0861,0.013
0.8592,0.1164,0.0244
0.7559,0.1393,0.1048
0.709,0.1752,0.1158
0.9514,0.0384,0.0103
0.8855,0.0677,0.0467
0.8384,0.0924,0.0692
0.7326,0.1479,0.1194
0.6365,0.3228,0.0406
0.5974,0.3539,0.0487
0.5593,0.2758,0.1649
0.7878,0.1743,0.038
0.7439,0.2047,0.0514
0.6138,0.234,0.1522
0.8893,0.0588,0.0519
0.8624,0.0833,0.0543
0.6959,0.1723,0.1318
0.5878,0.2756,0.1366
0.5377,0.2955,0.1668
